code,iso,country,Pop,PopGrowthRate,PopDensity,GDP,LandArea,GDPpc,SDGI,EPI2018Score,EPI2018Rank
296,KIR,Kiribati,0.114395,1.75311586,141.2283951,0.223659993,810,1955.155323,,55.26,95
414,KWT,Kuwait,4.052584,2.924206194,227.4177329,279.068,17820,68861.74352,62.4,62.28,61
417,KGZ,Kyrgyzstan,6.0827,2.089846482,31.71376434,20.02405521,191800,3291.96824,70.7,54.86,99
418,LAO,Laos,6.758353,1.406426845,29.28229203,38.75592581,230800,5734.522274,61.4,42.94,153
428,LVA,Latvia,1.960424,-0.868629779,31.52820843,46.49657079,62180,23717.60945,75.2,66.12,37
422,LBN,Lebanon,6.006668,2.617573568,587.1620723,79.69578445,10230,13267.8857,64.9,61.08,67
426,LSO,Lesotho,2.203821,1.332723919,72.58962451,6.03043638,30360,2736.354895,53,33.78,173
430,LBR,Liberia,4.613823,2.50636265,47.9009863,3.476780367,96320,753.557379,42.8,41.62,160
434,LBY,Libya,6.293253,0.930674535,3.576646737,90.96584509,1759540,14454.50312,,49.79,123
440,LTU,Lithuania,2.872298,-1.129000251,45.84673583,80.14887985,62650,27904.09625,73.6,69.33,29
442,LUX,Luxembourg,0.582972,2.319777521,225.0857143,55.24532687,2590,94764.97477,75,79.12,7
807,MKD,Macedonia,2.081206,0.091238733,82.522046,27.16968015,25220,13054.77697,69.4,61.06,68
450,MDG,Madagascar,24.894551,2.688870712,42.78884668,34.76946297,581800,1396.669615,43.5,33.73,175
454,MWI,Malawi,18.091575,2.904818605,191.8919707,19.60767469,94280,1083.801421,48,49.21,127
458,MYS,Malaysia,31.187265,1.499323358,94.92395374,800.542,328550,25668.87478,69.7,59.22,75
462,MDV,Maldives,0.417492,2.015177277,1391.64,6.087624113,300,14581.415,,52.14,111
466,MLI,Mali,17.994837,2.971968633,14.74756964,35.46934392,1220190,1971.08448,48.5,43.71,147
470,MLT,Malta,0.436947,1.167802724,1365.459375,15.61795686,320,35743.36671,77,80.9,4
478,MRT,Mauritania,4.301018,2.798060125,4.172909673,15.36444295,1030700,3572.28055,51.1,39.24,166
480,MUS,Mauritius,1.263473,0.068723138,622.4004926,24.72299486,2030,19567.48966,62.1,56.63,90
484,MEX,Mexico,127.540423,1.301730941,65.60890095,2146.82,1943950,16832.4673,69.1,59.69,72
583,FSM,Micronesia,0.104937,0.481445263,149.91,0.341410405,700,3253.479755,,49.8,122
