"tipo";"situacao";"data";"hora";"bairro";"endereco";"numero";"complemento";"natureza";"descricao";"auto";"moto";"ciclom";"ciclista";"pedestre";"onibus";"caminhao";"viatura";"outros";"vitimas"
"SEM VÍTIMA";"FINALIZADA";2016-09-10;08:43:00;"IPSEP";"AV RECIFE";NA;"ANTES DO POSTO BR,  SENTIDO BOA VIAGEM";"COLISÃO";"01 CAMINHÃO 01 AUTO";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-10;08:52:00;"COELHOS";"PTE JOAQUIM CARDOSO";"XX";"EM  BAIXO  DO PONTILHÃO JOAQUIM  CARDOSO";"COLISÃO";"COLISÃO SEM VITIMAS VT  07 QTH";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-09-10;08:55:00;"IMBIRIBEIRA";"AV MARECHAL MASCARENHAS DE MORAES";NA;"E/F AO ANTIGO DHPP ( ÓLEO NA PISTA )";"COLISÃO";"01 MOTO 01 AUTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"CANCELADA";2016-09-10;09:26:00;"BOA VIAGEM";"AV ENGENHEIRO DOMINGOS FERREIRA";NA;"EM FRENTE AO CASTELINHO";"COLISÃO";"COL.S/V NA FAIXA DA DIREITA";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-10;17:24:00;"CASA AMARELA";"RUA PADRE LEMOS";NA;"EM FRENTE AO MERCADO KINITOS";"COLISÃO";NA;"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-09-10;19:06:00;"TAMARINEIRA";"EST VELHA DE AGUA FRIA";"618";"PROX AO DENARC E OA BAR DO CHICO";"COLISÃO";"AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-09-10;21:06:00;"BOA VIAGEM";"AV CONSELHEIRO AGUIAR";NA;"CRUZ COM A PADRE CARAPUCEIRO";"COLISÃO";"AUTO E ONIBUS BORBOREMA";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-09-10;22:16:00;"ÁGUA FRIA";"AV ANIBAL BENEVOLO";NA;"PROX AO CLUB BELA VISTA NO TERMINAL";"COLISÃO";"AUTO E ONIBUS CAXANGA";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-09-11;07:07:00;"BEBERIBE";"AV BEBERIBE";NA;"CRUZ COM A RUA MEN DE SÁ";"COLISÃO";"01 MOTO 01 AUTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-09-11;07:12:00;"CASA AMARELA";"AV NORTE";NA;"EM FRENTE DA GLOBO";"COLISÃO";"COL.S/V  ,SET.SUB";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-09-11;09:13:00;"CORDEIRO";"RUA OCIDENTAL";"79";"CRUZ  COM A JOAQUIM XAVIER DE BRITO  EM FRENTE AO ARMAZEM JC CONSTRUÇÃO";"COLISÃO";"COLISÃO COM 1 VITIMA  A ESPERA DO SAMU";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-09-11;11:56:00;"ARRUDA";"RUA PEDRO RODRIGUES DE BARROS";"XX";"AO  LADO  DO  CANAL DE FRONTE AO COLEGIO  SANTA CECILIA";"COLISÃO";"COLISÃO  SEM VITIMAS";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-11;14:15:00;"VASCO DA GAMA";"RUA VASCO DA GAMA";NA;"EM FRENTE A ASSEMBLEIA DE DEUS";"COLISÃO";"COLISAO ENTRE AUTO E MOTO S/V";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-09-11;14:46:00;"CASA AMARELA";"AV NORTE";NA;"EM FRENTE AO HOTEL VIA NORTE, PROX. AO SESC";"COLISÃO";"COLISAO ENTRE ONIBUS DA PEDROSA E AUTO";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"COM VÍTIMA";"CANCELADA";2016-09-11;16:20:00;"DOIS UNIDOS";"AV HILDEBRANDO DE VASCONCELOS";"XX";"EM  FRENTE A  SEDE DO CANIL DA POLICIA  MILITAR";"COLISÃO";"COLISÃO  COM 1 VITIMA A ESPERA  DO  SAMU";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"COM VÍTIMA";"FINALIZADA";2016-09-11;17:17:00;"IPSEP";"RUA JEAN EMILE FAVRE";NA;"SEMAFARO 101";"COLISÃO";"COLISAO ENTRE AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"CANCELADA";2016-09-11;19:34:00;"DOIS IRMÃOS";"RUA MANUEL DE MEDEIROS";NA;"PROX. A RURAL, E A UPA";"COLISÃO";"COLISAO ENTRE DOIS AUTOS S/V, UM DOS CONDUTORES APRESENTA SINAIS DE EMBRIAGUEZ";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"COM VÍTIMA";"CANCELADA";2016-09-11;19:43:00;"AREIAS";"AV DR JOSE RUFINO";NA;"SEMAFARO 044";"COLISÃO";"COLISAO ENTRE AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"COM VÍTIMA";"FINALIZADA";2016-09-11;19:48:00;"TAMARINEIRA";"AV NORTE";NA;"SEMAFORO 456";"COLISÃO";"COLISAO ENTRE AUTO E MOTO S/V";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-09-12;06:55:00;"ILHA DO RETIRO";"AV ENGENHEIRO ABDIAS DE CARVALHO";NA;"CLUBE DO SPORTE APOIS A LOJA";"COLISÃO";"COL.S/V SET CD";"1";NA;NA;NA;NA;NA;NA;NA;"1";"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-12;09:13:00;"ILHA DO RETIRO";"AV ENGENHEIRO ABDIAS DE CARVALHO";NA;"A ENTRADA QUE FICA APOIS A LOJA DO SPORT CLUBE DO RECIFE";"COLISÃO";"COL.S/V SET.CD";"1";NA;NA;NA;NA;NA;NA;NA;"1";"0"
"SEM VÍTIMA";"EM ATENDIMENTO";2016-09-12;12:16:00;"MADALENA";"RUA BENFICA";NA;"E/F AO BJ, BATALHÃO DO CHOUQE DA PM";"COLISÃO";"01 MOTO 01 AUTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-09-12;12:42:00;"VÁRZEA";"RUA PROFESSOR ANTONIO COELHO";"XX";"NO SEMÁFORO 651";"COLISÃO";"COLISÃO COM VÍTIMA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-09-12;13:54:00;"DERBY";"PRC PARQUE AMORIM";NA;"RUA LATERAL DO BOMPREÇO, E/F AO AMERICANO BATISTA";"COLISÃO";"01 AUTO 01 ONIBUS";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-09-12;14:04:00;"IMBIRIBEIRA";"RUA SARGENTO SILVIO DELMAR HOLLEMBACH";NA;"ENTRADA   DO JUIZADO  ESPECIAL /";"COLISÃO";"MOTO E AUTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"CANCELADA";2016-09-12;15:15:00;"ESTÂNCIA";"AV RECIFE";"272";"EM FRENTE A SOM DE CAR EQUIPADORA/ SENTIDO BR";"COLISÃO";"COLISÃO SEM VÍTIMA";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-12;15:41:00;"BAIRRO DO RECIFE";"RUA BARAO DA VITORIA";NA;"C/ RUA DO SOL";"COLISÃO";"AUTOS 2 S-10 E UMA SPIN";"1";NA;NA;NA;NA;NA;NA;"1";NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-12;16:41:00;"GRAÇAS";"RUA DO FUTURO";NA;"PRÓXIMO AO CENTRO DE SAÚDE ALBERT SABIN";"COLISÃO";"UM AUTO E UMA MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-12;16:53:00;"BOA VISTA";"AV GOVERNADOR AGAMENON MAGALHAES";"XX";"APÓS O BOMPREÇO/ SENTIDO OLINDA";"COLISÃO";"COLISÃO SEM VÍTIMA";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-12;17:32:00;"BOA VIAGEM";"RUA ANTONIO FALCAO";NA;"DOMINGOS FERREIRA";"COLISÃO";"(HÁ UMA CRIANÇA DE 12 DIAS NO LOCAL DO ACIDENTE).";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-12;17:33:00;"AFOGADOS";"RUA DA PAZ";"XX";"EM FRENTE A FABRICA ASA";"COLISÃO";"COLISÃO SEM VÍTIMA";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-12;18:13:00;"BONGI";"AV ENGENHEIRO ABDIAS DE CARVALHO";"2840";"APOS A CHESF E PROX. A FUNASO SENT. CENTRO CIDADE";"COLISÃO";"CARRO FORTE E AUTO";"1";NA;NA;NA;NA;NA;NA;NA;"1";"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-12;18:29:00;"SÃO JOSÉ";"RUA IMPERIAL";"XX";"APOS A JUCEPE JUNTA COMERCIAL";"COLISÃO";"CAMINHÃO E AUTO";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-12;20:09:00;"CASA AMARELA";"EST DAS UBAIAS,";"52";"EM FRENTE DO COLEGIO MAP";"COLISÃO";"ONIBUS E AUTO";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-09-12;20:29:00;"ARRUDA";"AV PROFESSOR JOSE DOS ANJOS";"XX";"CRUZAMENTO COM RUA CORREA DE BRITO, ANTES DO CVA NO SEMAFORO 563";"COLISÃO";"AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"2"
"SEM VÍTIMA";"CANCELADA";2016-09-12;21:46:00;"BOA VISTA";"RUA BULHOES MARQUES";NA;"CAS JOSE MARIANO, SENTIDO RUA DA AURORA, EM FRENTE A IGREJA PRESBITERIANA DO RECIFE, E PROX. A PONTE";"COLISÃO";"COLISAO ENTRE AUTO E CAMINHAO DO LIXO";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-12;22:16:00;"CAXANGÁ";"AV CAXANGA";"XX";"PROX. DO TERMINAL DA CAXANGA, SENT. CAMARAGIBE";"COLISÃO";"AUTO E MICRO-ONIBUS";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-09-12;22:43:00;"CASA AMARELA";"RUA DA HARMONIA";NA;"CRUZAMENTO COM A CONSELHEIRO NABUCO";"COLISÃO";"COLISÃO ENTRE AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-09-13;07:45:00;"IMBIRIBEIRA";"AV MARECHAL MASCARENHAS DE MORAES";"4025";"EM FRENTE AO SHOPPING DO AUTOMOVEL";"COLISÃO";"COL.S/V SET.CD";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-13;08:12:00;"CASA AMARELA";"EST DO ENCANAMENTO";"1650";"EM FRENTE AO EDIFCIO BOSQUE DE BRETANHA";"COLISÃO";"COLISÃO SEM VÍTIMA";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-09-13;09:51:00;"SANTO AMARO";"AV CRUZ CABUGA";"XX";"EM  FRENTE A IGREJA  DOS  MORMON";"COLISÃO";"COLISÃO SEM VITIMAS";"1";NA;"1";NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-13;10:55:00;"IMBIRIBEIRA";"RUA MADRID";"129";"EM FRENTE DA EMPRESA DEKRA DE VISTORIA ,RUA POR TRAS DA ITALIANA";"COLISÃO";"S/V";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-09-13;11:34:00;"SANTO ANTÔNIO";"RUA PRIMEIRO DE MARCO";"XX";"EM  FRENTE  A PRAÇA  DO  DIARIO";"COLISÃO";"COLISÃO  SEM VITIMAS";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-09-13;12:16:00;"PINA";"AV ANTONIO DE GOES";"72";"APOS O TUNEL EM FRENTE DA POLICIA FEDERAL";"COLISÃO";"AUTO E ONIBUS";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-09-13;12:54:00;"CAXANGÁ";"AV CAXANGA";NA;"SEMAFORO 231";"COLISÃO";"COLISAO ENTRE AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"COM VÍTIMA";"FINALIZADA";2016-09-13;13:44:00;"IMBIRIBEIRA";"AV MARECHAL MASCARENHAS DE MORAES";NA;"APÓS O AEROPORTO, SENTIDO PRAZERES, ANTES DA ENTRADA DO JORDÃO";"COLISÃO";"01 MOTO 01 CARRO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"COM VÍTIMA";"FINALIZADA";2016-09-13;14:21:00;"IMBIRIBEIRA";"AV MARECHAL MASCARENHAS DE MORAES";"7935";"EM FRENTE A MP MULTIMARCAS SENT. CIDADE";"COLISÃO";"AUTO E MOTO";"1";NA;"1";NA;NA;NA;NA;NA;NA;"2"
"COM VÍTIMA";"FINALIZADA";2016-09-13;14:59:00;"JARDIM SÃO PAULO";"AV LIBERDADE";NA;"E/F A ANTIGA DELEGACIA DE ROUBOS E FURTOS DE VEICULOS";"COLISÃO";"COLISAO ENTRE MOTOS";"1";"2";NA;NA;NA;NA;NA;NA;NA;"2"
"SEM VÍTIMA";"FINALIZADA";2016-09-13;15:34:00;"JARDIM SÃO PAULO";"AV SAO PAULO";NA;"AO LADO DA DELEGACIA CIVIL / EM FRENTE A PRAÇA";"COLISÃO";"MOTO E AUTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-13;16:02:00;"SÃO JOSÉ";"RUA IMPERIAL";"1509";"APÓS VC CAPITÃO TEMUDO";"COLISÃO";"01 CAMINHÃO 01 AUTO";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-13;17:28:00;"BOA VIAGEM";"AV DOM JOAO VI";NA;"POR TRAZ DO HIPER BOMPREÇO - SENT PINA";"COLISÃO";"COLISAO ENTRE AUTO E CAMINHAO";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-13;18:10:00;"GRAÇAS";"AV RUI BARBOSA";NA;"SEMAFORO 305, NA ESQUINA DO MUSEU DO ESTADO";"COLISÃO";"COLISAO ENTRE AUTO E ONIBUS TRANSCOL";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"COM VÍTIMA";"CANCELADA";2016-09-13;18:45:00;"IPSEP";"AV RECIFE";NA;"ENTRADA DO IPSEP";"COLISÃO";"AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-09-14;09:11:00;"AFOGADOS";"LARGO DA PAZ";NA;"E/F  A ESTAÇÃO DO METRÔ, SENTIDO CIDADE. SOB A PASSARELA DO METRÔ";"COLISÃO";"SEM VÍTIMAS.";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-09-14;10:20:00;"BOA VIAGEM";"AV BOA VIAGEM";"7280";"EM  FRENTE  AO CLUBE  DA VARA";"COLISÃO";"COLISÃO  COM 1 VITIMA SOCORRIDO  PELOS BOMBEIROS";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-09-14;13:23:00;"IMBIRIBEIRA";"AV MARECHAL MASCARENHAS DE MORAES";NA;"E/F A TUPAN";"COLISÃO";"COLISAO ENTRE ONIBUS E AUTO";"1";NA;NA;NA;NA;NA;NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-09-14;13:53:00;"MADALENA";"AV VISCONDE DE ALBUQUERQUE";"862";"SENT SUBURBIO LADIREITO DA VIA";"COLISÃO";"AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"COM VÍTIMA";"CANCELADA";2016-09-14;16:21:00;"BOA VIAGEM";"AV ANTONIO TORRES GALVAO";"283";"EM FRENTE AS LOJAS BREMER";"COLISÃO";"MOTO E AUTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-09-14;18:11:00;"JARDIM SÃO PAULO";"AV RECIFE";NA;"CRUZ COM AV JOAO CABRAL DE MELO NETO SEMAFORO 259";"COLISÃO";"CAMINHAO E AUTO";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-14;18:39:00;"BOA VISTA";"RUA DA SOLEDADE";NA;"PROXIMO A CELPE SENTIDO CENTRO";"COLISÃO";"COLISAO ENTRE AUTO E ONIBUS";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-09-14;19:21:00;"VÁRZEA";"AV AFONSO OLINDENSE";"XX";"NA ESQUINA DA RUA DA DELEGACIA DA VÁRZEA, NAS PROXIMIDADES DA PRAÇA";"COLISÃO";"MOTO E AUTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-09-14;19:24:00;"ILHA DO RETIRO";"AV BEIRA RIO";"370";"NA ESQUINA DO EDF.MARIA PEREIRA COELHO";"COLISÃO";"COLISAO ENTRE AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"PENDENTE";2016-09-14;19:29:00;"JARDIM SÃO PAULO";"RUA LEANDRO BARRETO";"XX";"SENT. VERNEQUE ANTES DO VIADULTO DE JARDIM SÃO PAULO";"COLISÃO";"ONIBUS E AUTO";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-14;19:39:00;"IPSEP";"AV RECIFE";"1260";"APOS DO POSTO DE GASOLINA E IPIRANGA E RESTAURANTE SAL E BRASA SENT. BR";"COLISÃO";"AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-15;07:44:00;"VÁRZEA";"AV INACIO DE BARROS BARRETO";"399";"EM FRENTE AO TERMINAL DE ONIBUS CDU CAXANGA";"COLISÃO";"SEM VIT";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-09-15;09:19:00;"CURADO";"RUA AGOSTINHO BARBALHO";NA;"POR TRAZ DO  MERCADO PAJEU";"COLISÃO";"COL.S/V";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-15;09:26:00;"SAN MARTIN";"AV GENERAL SAN MARTIN";"1800";"SEMÁFORO N 058, SENTIDO CIDADE. AO LADO DO COLÉGIO DOM BOSCO.";"COLISÃO";"SEM VÍTIMAS";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-09-15;09:35:00;"SÃO JOSÉ";"RUA IMPERIAL";"2012";"EM FRENTE DA OFICINA";"COLISÃO";"COL.S/V  GM EDUARDO MOTO 32 JA NO LOCAL";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-09-15;09:58:00;"SANTO AMARO";"RUA DOS PALMARES";NA;"E/F AO CENTRO DE SAÚDE PROF. WALDEMAR DE OLIVEIRA";"COLISÃO";"COM UMA VÍTIMA A ESPERA DO SAMU.  LOCAL DESCARACTERIZADO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"COM VÍTIMA";"FINALIZADA";2016-09-15;10:01:00;"IPSEP";"AV RECIFE";NA;"SEMÁFORO 319";"COLISÃO";"COLISÃO ENTRE AUTO E MOTO COM 1 VÍTIMA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-09-15;10:54:00;"BOA VIAGEM";"AV FERNANDO SIMOES BARBOSA";"316";"EM FRENTE AO EDIFICIO SOBRADO SETÚBAL";"COLISÃO";"COLISÃO SEM VÍTIMA";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-15;11:24:00;"PRADO";"RUA GOMES TABORDA";NA;"AO LADO DO JOQUEI CLUBE";"COLISÃO";"COL.S/V SET SUB";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-15;12:17:00;"BOA VISTA";"AV MARIO MELO";NA;"ESQ COM O POSTO DE SAUDE / PROX A DEFESA CIVIL";"COLISÃO";"MOTO E AUTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-09-15;13:09:00;"BOA VIAGEM";"AV BOA VIAGEM";NA;"SEMAFORO 084";"COLISÃO";"COLISAO ENTRE AUTO E CAMINHAO";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-15;13:40:00;"TORRE";"RUA CONDE DE IRAJA";"811";"EM FRENTE A PADARIA IRAJA";"COLISÃO";"ETRE UM ONIBUS";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-15;13:43:00;"DOIS IRMÃOS";"RUA DOIS IRMAOS";NA;"AO LADO  DO VIADUTO / LADO ESQUERDO / APOS O LAFEPE";"COLISÃO";"CAMINHAO E AUTO";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"COM VÍTIMA";"CANCELADA";2016-09-15;14:36:00;"SANTO AMARO";"AV MARIO MELO";NA;"CRUZ.COM RUA DO POMBAL";"COLISÃO";"COLISÃO AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"CANCELADA";2016-09-15;15:18:00;"AFOGADOS";"RUA DA PAZ";NA;"EM FRENTE A IGREJA DE AFOGADOS";"COLISÃO";"ENTRE DOIS AUTOS";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-15;16:10:00;"BAIRRO DO RECIFE";"AV MARTINS DE BARROS";NA;"NO SEMAFORO 194 NA SUBIDA DA PONTE AO LADO DO BANCO ITAU";"COLISÃO";"COLISAO DE ONIBUS E CARRO FORTE";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-09-15;17:37:00;"IMBIRIBEIRA";"RUA PAMPULHA";NA;"AO LADO DA RENAUT";"COLISÃO";"COLISAO ENTRE AUTO E CAMINHAO";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-09-15;17:46:00;"SÃO JOSÉ";"AV SUL";NA;"AO LADO DO POSTO BR - DESATIVADO / PX AO SEMAFORO 211";"COLISÃO";"COLISAO ENTRE ONIBUS E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-09-16;05:16:00;"NOVA DESCOBERTA";"RUA TOLEDO";NA;"PRÓXIMO A ENTRADA DO CÓRREGO DO INÁCIO";"COLISÃO";"COLISÃO ENTRE AUTO E ONIBUS SEM VÍTIMAS";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-09-16;06:11:00;"BARRO";"AV CENTRAL";"XXX";"NA SAIDA  DO TERMINAL DO BARRO";"COLISÃO";"COLISÃO  SEM VITIMAS";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"PENDENTE";2016-09-16;09:52:00;"TORRE";"RUA CONDE DE IRAJA";"XX";"NA SUBIDA  DA PONTE   DA TORRE";"COLISÃO";"COLISÃO  SEM VITIMAS";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-09-16;09:57:00;"MUSTARDINHA";"RUA CELIA";"360";"RESIDENCIA.";"COLISÃO";"SEM VÍTIMAS";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-16;10:04:00;"VÁRZEA";"RUA PROFESSOR ANTONIO COELHO";"495";"E/F AO COLÉGIO PONTUAL, SENTIDO CAXANGÁ";"COLISÃO";"SEM VÍTIMAS.";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"PENDENTE";2016-09-16;10:57:00;"VÁRZEA";"AV AFONSO OLINDENSE";"1927";"E/F AO RESIDENCIAL ANTÔNIO AURÉLIO";"COLISÃO";"SEM VÍTIMAS";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"COM VÍTIMA";"PENDENTE";2016-09-16;14:15:00;"BOA VISTA";"RUA DA SANTA CRUZ";NA;"E/F DA IGREJA DA  SANTA CRUZ";"COLISÃO";"COLISAO DE AUTO COM UM CICLISTA COM UMA VITIMA";"1";NA;NA;NA;NA;NA;NA;NA;NA;"1"
"COM VÍTIMA";"FINALIZADA";2016-09-16;18:52:00;"BOA VISTA";"RUA DOM BOSCO";NA;"AO LADO DA EMLURB E POSTO IPIRANGA";"COLISÃO";"COLISAO ENTRE AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"COM VÍTIMA";"CANCELADA";2016-09-16;18:56:00;"ARRUDA";"AV BEBERIBE";NA;"CRUZ COM JOSE DOS ANJOS";"COLISÃO";"AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"CANCELADA";2016-09-16;18:57:00;"ESPINHEIRO";"AV JOAO DE BARROS";NA;"SEMAFORO 089";"COLISÃO";"COLISAO ENTRE AUTO E ONIBUS DA CAXANGA";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-09-16;20:45:00;"MADALENA";"AV BEIRA RIO";"825";"EM FRENTE A CASA DO GOVERNADOR";"COLISÃO";"COLISAO ENTRE AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-09-16;22:24:00;"CASA AMARELA";"AV NORTE";NA;"PROX. A MATERNIDADE BARROS LIMA, SENTIDO MACAXEIRA";"COLISÃO";"COLISAO ENTRE AUTO E ONIBUS DA PEDROSA";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
