;waster_water_treatment;environmental_health;environmental_performance_index;marine_protected_areas;economic_policy_performance;economic_performance;total_export;political_corruption
25;0.0;52.0099983215332;49.0099983215332;43.4900016784668;;5.0;20.09033966064453;0.5623646378517151
26;0.0;38.650001525878906;42.36999893188477;;;4.0;7.7681827545166025;0.8958621025085449
27;66.36000061035156;83.79000091552734;80.52999877929688;;;4.0;54.94100570678711;0.3936856985092163
28;0.0;58.900001525878906;51.2400016784668;39.75;;7.0;62.32284164428711;0.8324848413467407
29;0.0;54.45000076293945;57.150001525878906;93.51000213623048;;6.0;21.73535919189453;0.9275065064430236
30;89.75;94.70999908447266;84.5999984741211;74.93000030517578;6.963398456573486;;31.58058738708496;0.0310039985924959
31;19.39999961853027;69.81999969482422;51.13999938964844;0.0;;;40.361122131347656;0.2011344581842423
32;0.0;37.20000076293945;46.540000915527344;;;2.0;13.030092239379881;0.8028382658958435
33;0.0;72.88999938964844;66.08999633789064;45.77999877929688;;8.0;21.088764190673828;0.6185738444328308
34;0.0;28.34000015258789;37.81000137329102;;;5.0;34.161361694335945;0.9685041308403016
35;94.26000213623048;92.55999755859376;78.43000030517578;95.70999908447266;6.084116935729981;8.0;33.06085968017578;0.08854064345359801
36;78.08000183105469;59.5099983215332;66.16999816894531;71.3499984741211;;9.0;24.08001708984375;0.5473948121070862
37;65.77999877929689;73.36000061035156;70.9800033569336;79.93000030517578;;10.0;;0.3324455320835114
38;71.80000305175781;82.72000122070312;77.86000061035156;97.0199966430664;;7.0;15.936544418334961;0.5388473272323608
39;3.960000038146973;54.81000137329102;48.77000045776367;35.52999877929688;;;16.87471389770508;0.6610593199729919
40;24.98999977111816;57.93000030517578;59.83000183105469;91.6999969482422;;6.0;72.98675537109375;0.7268103361129761
41;0.0;34.02000045776367;42.11000061035156;;;5.0;33.194259643554695;0.9189690351486206
42;56.650001525878906;91.37000274658205;81.06999969482422;73.16999816894531;;8.0;32.27699661254883;0.1505229771137238
43;83.75;84.56999969482422;82.91999816894531;78.8499984741211;3.892372608184815;5.0;46.42665481567383;0.360296756029129
44;67.5;91.05999755859376;78.68000030517578;89.38999938964844;;5.0;22.08388519287109;0.4460057020187378
45;73.80999755859375;85.58999633789062;79.77999877929688;0.0;4.1447129249572745;;62.19247055053711;0.2274125665426254
46;88.9800033569336;78.23999786376953;83.48999786376953;;5.680333614349365;8.0;82.54569244384766;0.2700555324554443
47;7.625999927520753;44.13000106811523;43.72000122070313;0.0;;6.0;32.07625961303711;0.4585721790790558
48;95.72000122070312;93.31999969482422;88.29000091552734;100.0;7.568076610565186;;54.51785278320313;0.0100311581045389
49;51.95000076293945;87.20999908447266;72.54000091552734;30.63999938964844;;;41.11268615722656;
50;80.76000213623047;79.20999908447266;76.69000244140625;98.7300033569336;;7.0;25.598712921142578;0.8116464018821716
51;0.0;86.30000305175781;68.47000122070314;100.0;;7.0;27.9914608001709;0.5320346951484679
52;42.209999084472656;77.61000061035156;69.70999908447266;72.56999969482422;;6.0;25.9630012512207;0.5546302795410156
53;44.41999816894531;66.44000244140625;70.47000122070312;60.38000106811523;;;66.80699920654297;0.7949386239051819
54;0.0;36.650001525878906;45.709999084472656;;;7.0;11.64161968231201;0.604282021522522
55;0.0;47.18000030517578;35.06999969482422;0.0;;1.0;14.37634563446045;0.6795531511306763
56;90.90000152587892;95.25;88.2699966430664;100.0;6.968808650970459;9.0;83.05692291259766;0.0591903738677502
57;57.38000106811523;87.01000213623047;74.66000366210938;78.30000305175781;;;55.58879470825195;0.2571427226066589
58;93.5199966430664;97.37000274658205;90.72000122070312;100.0;7.569701671600343;;37.22222900390625;0.0354525521397591
59;92.41000366210938;88.98999786376953;87.6500015258789;100.0;5.266709804534912;;28.84412384033203;0.0798662379384041
60;0.0;65.0999984741211;40.25;57.18999862670898;;;;0.7314407229423523
61;0.0;75.66000366210938;68.05000305175781;77.76000213623047;;;44.52097702026367;0.7835410237312317
62;0.0;77.5999984741211;64.16000366210939;71.95999908447266;;6.0;42.94361877441406;0.1491229832172394
63;31.0;55.22000122070313;52.599998474121094;0.0;;;26.10351943969727;0.6106672286987305
64;98.58999633789064;82.30000305175781;84.11000061035156;100.0;7.503302574157715;;45.652015686035156;0.0415957346558571
65;43.34000015258789;53.63000106811523;58.75;50.93999862670898;;7.0;39.5235595703125;0.5908424258232117
66;27.05999946594238;73.9800033569336;62.86000061035156;100.0;;;12.401737213134771;
67;92.02999877929688;86.13999938964844;84.55000305175781;68.81999969482422;3.49899697303772;;32.50380325317383;0.2735431492328644
68;11.36999988555908;90.04000091552734;62.459999084472656;28.81999969482422;;;25.59511566162109;
69;65.19000244140625;72.37999725341797;70.04000091552734;75.51000213623047;;7.0;23.15841865539551;0.8055936098098755
70;37.20000076293945;46.08000183105469;55.15999984741211;66.16999816894531;;5.0;27.63430595397949;0.7402170896530151
71;38.540000915527344;83.5;70.62000274658203;0.0;;;46.82587814331055;0.6104096174240112
72;0.0;50.4900016784668;43.38999938964844;0.0;;3.0;18.51724243164063;0.6890931129455566
73;46.47999954223633;75.08000183105469;69.52999877929689;69.45999908447266;;6.0;47.56265640258789;0.6936790347099304
74;84.58000183105469;77.01000213623047;82.12000274658203;;4.34142541885376;7.0;88.6552734375;0.3799014687538147
75;88.19999694824219;98.79000091552734;90.31999969482422;13.989999771118159;6.464408397674561;;53.25777053833008;0.0322453863918781
76;48.40999984741211;49.04999923706055;55.0;67.51000213623047;;8.0;23.00933456420898;0.5227486491203308
77;12.6899995803833;76.5;65.61000061035156;89.86000061035156;;7.0;23.66598510742188;0.7030686140060425
78;55.90999984741211;71.62999725341797;64.81999969482422;70.0999984741211;;3.0;24.16879463195801;0.7054094076156616
79;68.61000061035156;62.18000030517578;61.540000915527344;;;3.0;41.33845138549805;0.8106383681297302
80;84.98999786376953;95.58000183105469;87.9000015258789;85.05999755859375;5.5860795974731445;;113.7867431640625;0.0863339230418205
81;96.8000030517578;77.9800033569336;78.23999786376953;37.0;6.657588005065918;;32.21319580078125;0.1267253011465073
82;92.77999877929688;83.52999877929688;84.62999725341797;96.58999633789064;4.985207080841065;;29.30651664733887;0.2448393851518631
83;35.77999877929688;56.47000122070313;59.790000915527344;55.5;;5.0;39.27465057373047;0.5251773595809937
